200;1007.75;14.08;None;None;None;00.89;00.13;00.37;
201;1007.76;14.10;None;None;None;00.31;00.23;00.97;
202;1007.78;14.12;None;None;None;00.04;00.13;01.04;
203;1007.80;14.15;None;None;None;-0.14;-0.03;01.04;
204;1007.83;14.17;None;None;None;-0.12;-0.12;00.99;
205;1007.82;14.19;None;None;None;-0.09;-0.03;00.99;
206;1007.82;14.22;None;None;None;-0.04;-0.07;01.00;
207;1007.82;14.23;None;None;None;-0.10;-0.14;01.03;
208;1007.82;14.26;None;None;None;-0.12;-0.05;01.19;
209;1007.81;14.28;None;None;None;00.08;-0.04;00.95;
210;1007.82;14.30;None;None;None;-0.06;-0.10;00.96;
211;1007.82;14.33;None;None;None;-0.11;-0.08;01.03;
212;1007.83;14.34;None;None;None;-0.20;-0.08;01.06;
213;1007.83;14.36;None;None;None;-0.27;-0.11;01.23;
214;1007.85;14.38;None;None;None;-0.36;-0.18;01.56;
215;1007.85;14.39;None;None;None;-0.16;-0.08;01.10;
216;1007.85;14.40;None;None;None;-0.24;-0.12;01.32;
217;1007.85;14.42;None;None;None;-0.23;-0.09;01.08;
218;1007.84;14.44;None;None;None;-0.19;-0.08;01.04;
219;1007.88;14.47;None;None;None;-0.11;-0.09;00.92;
220;1007.85;14.49;None;None;None;-0.05;-0.01;01.17;
221;1007.89;14.51;None;None;None;00.07;-0.01;01.04;
222;1007.90;14.54;None;None;None;-0.12;00.06;01.01;
223;1007.90;14.55;None;None;None;00.08;-0.05;01.01;
224;1007.90;14.57;None;None;None;00.16;00.16;00.88;
225;1007.89;14.58;None;None;None;00.03;00.07;00.89;
226;1007.88;14.61;None;None;None;-0.09;-0.17;01.03;
227;1007.89;14.63;None;None;None;00.00;-0.06;01.02;
228;1007.91;14.64;None;None;None;-0.40;00.04;01.08;
229;1007.90;14.67;None;None;None;-0.14;00.05;00.83;
230;1007.92;14.69;None;None;None;-0.19;00.02;00.84;
231;1007.93;14.73;None;None;None;-0.37;00.08;00.75;
232;1007.93;14.77;None;None;None;-0.23;-0.05;00.91;
233;1007.91;14.79;None;None;None;-0.59;00.20;01.25;
234;1007.90;14.81;None;None;None;-0.28;-0.04;01.19;
235;1007.89;14.82;None;None;None;-0.29;00.10;01.11;
236;1007.88;14.84;None;None;None;-0.25;-0.04;01.09;
237;1007.88;14.86;None;None;None;-0.28;00.03;01.08;
238;1007.84;14.87;None;None;None;-0.10;00.40;00.70;
239;1007.85;14.88;None;None;None;-0.25;00.74;00.82;
240;1007.80;14.90;None;None;None;00.14;00.09;01.16;
241;1007.78;14.92;None;None;None;-0.26;00.26;00.33;
242;1007.87;14.94;None;None;None;-0.75;00.86;00.06;
243;1007.93;14.95;None;None;None;-0.77;00.73;00.04;
244;1007.97;14.98;None;None;None;-0.77;00.72;00.04;
245;1008.01;15.01;None;None;None;-0.77;00.72;00.04;
246;1008.03;15.04;None;None;None;-0.78;00.73;00.04;
247;1008.03;15.07;None;None;None;-0.77;00.73;00.03;
248;1008.04;15.09;None;None;None;-0.77;00.73;00.03;
